PDB,Chain
1FE0,B
1FE4,A
1FE4,B
3IK7,A
3IK7,D
5F2U,A
2VCQ,A
2VCQ,B
2VCQ,C
2VCW,A
2VCW,B
2VCZ,A
2VCZ,B
2VCZ,D
4EC0,A
4EC0,B
4EDY,A
5AIS,A
5AIS,B
5AIS,C
5AIS,D
5YWE,A
5YWE,B
5YWE,C
5YWE,D
5YWX,A
5YWX,B
5YWX,C
5YWX,D
5YX1,A
5YX1,B
5YX1,C
5YX1,D
6W8H,A
6W8H,C
6ZTC,A
6ZTC,B
7JR6,A
7JR6,B
7JR8,A
7JR8,B
6UNT,A
6URE,A
6URJ,A
6URK,A
6URL,A
6URN,A
6URR,A
6URZ,A
6US0,A
6US1,A
6US7,A
6USB,A
6USD,A
6USI,A
6BKX,A
6BKX,B
6BL2,A
6BL2,B
6BL2,C
3D32,B
1U3U,A
1U3U,B
1U3V,A
1U3V,B
4JNK,B
4JNK,C
4JNK,D
4RLS,A
5W8H,A
5W8H,B
5W8J,B
5W8J,C
5W8J,D
5W8K,B
5W8K,D
5W8L,A
5W8L,B
5W8L,C
5W8L,D
2C2S,A
2C2S,B
2C2T,A
2C2T,B
2W3A,A
2W3A,B
2W3B,B
2W3M,A
2W3M,B
4KAK,A
4KAK,B
4KBN,A
4KBN,B
4KEB,A
4KEB,B
4KFJ,A
4KFJ,B
6DAV,A
6DAV,B
1HL4,A
1HL4,B
1HL5,A
1HL5,B
1HL5,C
1HL5,D
1HL5,G
1HL5,H
1HL5,I
1HL5,J
1HL5,K
1HL5,N
1HL5,O
1HL5,P
1HL5,Q
1HL5,S
1PU0,A
1PU0,B
1PU0,C
1PU0,D
1PU0,E
1PU0,F
1PU0,G
1PU0,H
1PU0,I
1PU0,J
2C9U,A
2C9U,F
2C9V,A
2C9V,F
2V0A,A
2V0A,F
3ECU,A
3ECU,B
5O3Y,A
5O3Y,F
5O40,A
5O40,F
5YTO,A
5YTO,B
5YTO,C
5YTO,D
5YTO,E
5YTO,F
5YTO,G
5YTO,H
5YTO,I
5YTU,A
5YTU,B
5YTU,C
5YTU,D
5YTU,E
5YTU,F
5YTU,H
5YUL,A
5YUL,B
5YUL,C
5YUL,D
5YUL,E
5YUL,F
5YUL,G
5YUL,H
5YUL,I
6FFK,A
6FFK,B
5L3O,A
5L3O,B
5L6K,A
5L6K,B
5LVS,A
5LVS,B
6H6S,A
6H6S,B
3KFQ,C
3KFQ,D
3KSE,D
3KSE,E
3KSE,F
3W4U,A
3W4U,C
1SHR,B
1SHR,D
2H61,B
3D10,A
1U8F,O
1U8F,P
1U8F,Q
1U8F,R
4WNC,A
4WNC,B
4WNC,C
4WNC,D
4WNC,E
4WNC,F
4WNC,G
4WNC,O
6M61,O
6M61,P
6M61,Q
6YNE,A
6YNE,B
6YNE,C
6YNE,D
6V7C,E
6V7D,B
6V7D,E
6V7D,F
5DG2,B
6AQ1,A
6AQ1,B
1JIQ,A
1JIQ,B
