AF,Chain
AF-O00625-F1-model_v1.pdb,6N0K:A
AF-O43924-F1-model_v1.pdb,5ML3:B
AF-O60760-F1-model_v1.pdb,7JR8:A
AF-O60760-F1-model_v1.pdb,7JR8:B
AF-O60760-F1-model_v1.pdb,5YX1:A
AF-O60760-F1-model_v1.pdb,5YX1:B
AF-O60760-F1-model_v1.pdb,5YX1:C
AF-O60760-F1-model_v1.pdb,5YX1:D
AF-O95166-F1-model_v1.pdb,3D32:B
AF-P00374-F1-model_v1.pdb,5HVE:A
AF-P00374-F1-model_v1.pdb,5HUI:A
AF-P00374-F1-model_v1.pdb,5HSU:A
AF-P00374-F1-model_v1.pdb,5HSR:A
AF-P00374-F1-model_v1.pdb,5HQY:A
AF-P00374-F1-model_v1.pdb,5HQZ:A
AF-P00374-F1-model_v1.pdb,3NXR:A
AF-P00374-F1-model_v1.pdb,3NXX:A
AF-P00374-F1-model_v1.pdb,3NTZ:A
AF-P00374-F1-model_v1.pdb,3NU0:A
AF-P00374-F1-model_v1.pdb,3GHW:A
AF-P00374-F1-model_v1.pdb,3FS6:A
AF-P00374-F1-model_v1.pdb,4G95:A
AF-P00374-F1-model_v1.pdb,1KMV:A
AF-P00374-F1-model_v1.pdb,4KEB:A
AF-P00374-F1-model_v1.pdb,4KEB:B
AF-P00374-F1-model_v1.pdb,2W3B:B
AF-P00374-F1-model_v1.pdb,2C2S:A
AF-P00374-F1-model_v1.pdb,2C2S:B
AF-P00374-F1-model_v1.pdb,2C2T:A
AF-P00374-F1-model_v1.pdb,2C2T:B
AF-P00374-F1-model_v1.pdb,2W3A:A
AF-P00374-F1-model_v1.pdb,2W3A:B
AF-P00374-F1-model_v1.pdb,4M6K:A
AF-P00441-F1-model_v1.pdb,5O40:A
AF-P00441-F1-model_v1.pdb,5O40:F
AF-P00441-F1-model_v1.pdb,5O3Y:A
AF-P00441-F1-model_v1.pdb,5O3Y:F
AF-P00441-F1-model_v1.pdb,2C9S:A
AF-P00441-F1-model_v1.pdb,2C9S:F
AF-P00441-F1-model_v1.pdb,2C9U:A
AF-P00441-F1-model_v1.pdb,2C9U:F
AF-P00441-F1-model_v1.pdb,2C9V:A
AF-P00441-F1-model_v1.pdb,2C9V:F
AF-P00441-F1-model_v1.pdb,2V0A:A
AF-P00441-F1-model_v1.pdb,2V0A:F
AF-P00918-F1-model_v1.pdb,6YZT:A
AF-P00918-F1-model_v1.pdb,6YZU:A
AF-P00918-F1-model_v1.pdb,4Z1N:A
AF-P00918-F1-model_v1.pdb,4Z1J:A
AF-P00918-F1-model_v1.pdb,6YZS:A
AF-P00918-F1-model_v1.pdb,5EH8:A
AF-P00918-F1-model_v1.pdb,6H6S:A
AF-P00918-F1-model_v1.pdb,6H6S:B
AF-P00918-F1-model_v1.pdb,5LVS:A
AF-P00918-F1-model_v1.pdb,5LVS:B
AF-P00918-F1-model_v1.pdb,1LUG:A
AF-P00918-F1-model_v1.pdb,3P3H:A
AF-P00918-F1-model_v1.pdb,4MTY:A
AF-P00918-F1-model_v1.pdb,5EHW:A
AF-P00918-F1-model_v1.pdb,5EHV:A
AF-P02689-F1-model_v1.pdb,6S2M:A
AF-P02689-F1-model_v1.pdb,6S2S:A
AF-P02689-F1-model_v1.pdb,4BVM:A
AF-P05413-F1-model_v1.pdb,6AQ1:A
AF-P05413-F1-model_v1.pdb,6AQ1:B
AF-P07737-F1-model_v1.pdb,2PBD:P
AF-P08263-F1-model_v1.pdb,1K3L:A
AF-P08263-F1-model_v1.pdb,6ATR:A
AF-P08263-F1-model_v1.pdb,6ATR:B
AF-P08263-F1-model_v1.pdb,1K3Y:A
AF-P08263-F1-model_v1.pdb,1K3Y:B
AF-P09104-F1-model_v1.pdb,3UJR:A
AF-P09104-F1-model_v1.pdb,3UJR:B
AF-P09104-F1-model_v1.pdb,2AKZ:A
AF-P09104-F1-model_v1.pdb,2AKZ:B
AF-P09211-F1-model_v1.pdb,6Y1E:A
AF-P09211-F1-model_v1.pdb,6Y1E:B
AF-P09211-F1-model_v1.pdb,6Y1E:C
AF-P09211-F1-model_v1.pdb,6Y1E:D
AF-P09211-F1-model_v1.pdb,2A2R:B
AF-P09211-F1-model_v1.pdb,5J41:A
AF-P09211-F1-model_v1.pdb,5J41:B
AF-P09211-F1-model_v1.pdb,5DAL:B
AF-P09455-F1-model_v1.pdb,5LJG:A
AF-P09455-F1-model_v1.pdb,5LJB:A
AF-P09960-F1-model_v1.pdb,3U9W:A
AF-P14174-F1-model_v1.pdb,3IJJ:A
AF-P14174-F1-model_v1.pdb,3IJJ:B
AF-P14174-F1-model_v1.pdb,3IJJ:C
